id,company,profile_url,hall,stand
1032,KRD Coatings GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/o18fKOyeRZO6oIB9G2xPJA,5,D44
1033,LORENZ Kunststofftechnik GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/oUh6CpdPRAebCALY9Vc0jA,7a,C35
1034,Plastek UK Ltd,https://www.k-online.com/vis/v1/en/exhprofiles/NxzEcW6cR9mf6BxqsXYngg,5,A28
1036,PREMIUM,https://www.k-online.com/vis/v1/en/exhprofiles/qK6p0M53Sp2TRQvVXZkWTg,8a,B33
1038,MURTFELDT GmbH & Co. KG,https://www.k-online.com/vis/v1/en/exhprofiles/IEPCnQtiSRaBE8KJ4uXxGA,5,F21
1040,Omya Performance Polymer Distribution AG,https://www.k-online.com/vis/v1/en/exhprofiles/RnGfDeQ7QCCWQitETIksYQ,6,D75
1042,Biesterfeld Plastic GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/OXThPXvESwuJYyVxcHcRcg,5,B18
1043,BASF SE,https://www.k-online.com/vis/v1/en/exhprofiles/onNNEERFQv2PgFGOp4EstQ,5,D21
1044,TITK - Thüringisches Institut für Textil- und Kunststoff-Forschung e.V.,https://www.k-online.com/vis/v1/en/exhprofiles/dqCVdl1XTZmvJFzCTGE7vw,7,B24
1045,DK Kunststoff-Service GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/1nGX6ItjSEuLzmorpjkb4g,6,D76
1046,FKuR Kunststoff GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/djZ4KzYzTB2AqNrIYtvozA,6,Germany
1047,K.D. Feddersen GmbH & Co. KG,https://www.k-online.com/vis/v1/en/exhprofiles/8cq3xKiJT6iy16Jsdh1kGg,6,C76
1049,Covestro Deutschland AG,https://www.k-online.com/vis/v1/en/exhprofiles/izNyT3fZQmSjiKPPlbEwdw,6,A75
1052,Lehmann & Voss & Co. KG,https://www.k-online.com/vis/v1/en/exhprofiles/rkWQF3mqT46BWVyUnqubow,8a,G33
1053,Marubeni International (Europe) GmbH Chemical Group,https://www.k-online.com/vis/v1/en/exhprofiles/kUtaCRUjQ6GfcA0dgDVYgA,7a,D25
1054,UBE Europe GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/Vg57mDEmQYaSUXDSpACEYw,6,E08
1055,Beologic NV,https://www.k-online.com/vis/v1/en/exhprofiles/Lws8t7rWTTSYQqT9WoRsXw,8a,E35
1057,"Fraunhofer-Institut für Umwelt-, Sicherheits- und Energietechnik UMSICHT",https://www.k-online.com/vis/v1/en/exhprofiles/wHRq4f4xR1q4cMmvCbMMzg,7,C05
1058,MOCOM Compounds GmbH & Co. KG,https://www.k-online.com/vis/v1/en/exhprofiles/OS3xVAF1RGu3jEbOiCR0aA,6,A62
1059,ADVANCED & FUNCTIONAL TECHNOLOGIES FOR BIOCOMPOSITES S.L.,https://www.k-online.com/vis/v1/en/exhprofiles/F7albQgvRZW3FxZORbDYyA,8a,C34
1060,AGRANA Stärke GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/nbToGxLZQ4qDF4VCwfv4fA,5,F30-04
1061,ASAHI KASEI EUROPE GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/0Wt5r7qLTWi9PN6L9FI5NA,8a,E23
1062,B4Plastics BVBA,https://www.k-online.com/vis/v1/en/exhprofiles/5mwbEUKySkuJ1FlrZ2Q3gg,8b,H24
1063,ELASTRON KIMYA SAN. VE TIC. A.Ş. Elastron TPE,https://www.k-online.com/vis/v1/en/exhprofiles/5hNyz0q1RHqq4mvx4Hpm4g,6,C10
1065,"Nordmann, Rassmann GmbH - Nordmann",https://www.k-online.com/vis/v1/en/exhprofiles/g4bT1WiWTWyvN187PvlhkQ,6,E75
1066,BENVIC SAS,https://www.k-online.com/vis/v1/en/exhprofiles/WrWzq4jNRQS1HJgmzb0CBg,8a,F12
1067,ACTEGA GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/UIH6YqMvQHC8K1b9GW0ehg,8a,F11-03
1069,Gianeco srl,https://www.k-online.com/vis/v1/en/exhprofiles/nc7KjJXhRxOQKeQwsIUv8g,7,B08
1070,Omya GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/AzRdlhQQSIeuRRNJwIkelw,6,D75
1071,PLASTORE SRL,https://www.k-online.com/vis/v1/en/exhprofiles/oA8UgiS4Qmivh3seccPuOQ,8b,F53
1072,Polyram – MCT Germany GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/UWyUhKhgRI63ovovCpufqg,8a,K05
1074,EFLAYA SRL,https://www.k-online.com/vis/v1/en/exhprofiles/Jm5PIBxZTnOCPEFPEXdqXw,7a,C18
1075,Evonik Industries AG,https://www.k-online.com/vis/v1/en/exhprofiles/Svv6Yz07Spy7Y4v4oLjlRw,6,D79
1079,Marfran Srl,https://www.k-online.com/vis/v1/en/exhprofiles/gwIHf1cbSeKW3VFY8tmzLA,6,E75
1083,ELASTEVER SAS,https://www.k-online.com/vis/v1/en/exhprofiles/5WigEoK0QUeJJkr6K11Jaw,5,D04-06
1085,RTP Company,https://www.k-online.com/vis/v1/en/exhprofiles/jlGcP1PJRqGLwZH7gWwS8A,8a,H18
1087,Weber & Schaer GmbH & Co. KG,https://www.k-online.com/vis/v1/en/exhprofiles/OPt4HR9pSZ2dRuyMRdKnOQ,6,D07
1088,Addiplast Group S.A.S.,https://www.k-online.com/vis/v1/en/exhprofiles/kwoGXyfASou8wJVWUW2LqQ,5,D04-16
1090,"Dongguan EKG Industrial Co.,Ltd",https://www.k-online.com/vis/v1/en/exhprofiles/dzRWgWRMSdSvAABhs75s9A,7,G29
1091,"GREAT EASTERN RESINS INDUSTRIAL CO., LTD",https://www.k-online.com/vis/v1/en/exhprofiles/pTues7i5R0qLp0DSARwFQA,7,C51-01
1094,ASPEN GLOBAL SOLUTIONS SAS,https://www.k-online.com/vis/v1/en/exhprofiles/Q9BX0ARsTteFEISF9xfi3Q,5,D04-18
1096,Rajiv Plastics Pvt. Ltd.,https://www.k-online.com/vis/v1/en/exhprofiles/tkJ0e2rkRgSqGY3eAHMItA,8b,E35
1097,"Shandong Ruian Biotechnology Co., Ltd.",https://www.k-online.com/vis/v1/en/exhprofiles/icddetQ8RmmmwjUOW2K8ZQ,8b,D11-02
1098,ADVANCE BIO MATERIAL CO PVT LTD,https://www.k-online.com/vis/v1/en/exhprofiles/CTU19D2XTqGJhWO0Jj2hNw,7,E10
1100,"SHANDONG RUIFENG CHEMICAL CO., LTD",https://www.k-online.com/vis/v1/en/exhprofiles/prjt2ZuQSeuNk5T91nV7cg,7,E03-12
1102,"Miracll Chemicals Co., Ltd.",https://www.k-online.com/vis/v1/en/exhprofiles/PnkmsD8sTaiW68KZTsE05g,7,A24
1103,BERKIM KAUCUK PLASTIK KIMYA SAN. VE TIC. A.S.,https://www.k-online.com/vis/v1/en/exhprofiles/85I4wh3qRPqkLxvYBi0RcQ,7,B20
1106,"Beijing Phabuilder Biotechnology Co., Ltd.",https://www.k-online.com/vis/v1/en/exhprofiles/eenmReZ8T92fizRaeP3R7w,5,B53
1108,ELIXANCE SAS,https://www.k-online.com/vis/v1/en/exhprofiles/0HlQ2WBFRMOwBCHf7j4T4A,5,D04-08
1110,European Bioplastics e.V.,https://www.k-online.com/vis/v1/en/exhprofiles/23G9Rm0UR66l9dumO3Cwkw,7a,B10
1113,ALOXE FRANCE SAS,https://www.k-online.com/vis/v1/en/exhprofiles/ZeopzhzRTzm7LWQtA1FteQ,5,D04-14
1114,Amandus Kahl GmbH & Co. KG,https://www.k-online.com/vis/v1/en/exhprofiles/vyz173PaTtqCgxjC7i7P8A,10,B51
1116,Apex-Desco Machine Company Corp.,https://www.k-online.com/vis/v1/en/exhprofiles/bxLJ0C4hT3mEiXbmVYgUAA,4,C21
1117,AYTEK SOGUTMA IC VE DIS TIC. A.S.,https://www.k-online.com/vis/v1/en/exhprofiles/A1ALgM7GQfuM97GMLT0FrQ,10,ITECH
1118,B & P Littleford LLC,https://www.k-online.com/vis/v1/en/exhprofiles/WBqNA2LHQ2K6q3LRPUKwtw,11,D67
1119,BANDERA LUIGI COSTRUZIONI MECCANICHE SPA,https://www.k-online.com/vis/v1/en/exhprofiles/SvC1pNhgTDCmQtgl1XthCA,10,F28
1121,Barnes Group Acquisition GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/gjliNybSTIO4spN2roz0zQ,1,C50
