id,company
1170,SHL Advantec AG
1171,BYK-Chemie GmbH
1172,ROWA Lack GmbH
1173,Torimex Group Sp z o.o.
1174,GKG Goldmann Kunststoffe GmbH & Co. KG
1175,Biesse S.p.A.
1176,Trexel GmbH
1177,CONSTAB Polyolefin Additives GmbH
1178,Krahn Chemie Deutschland GmbH
1179,POLYTECHS SAS
1180,Repi S.r.l.
1181,AMIK ITALIA SPA
1182,Chemische Fabrik Budenheim KG
1183,Everkem Srl.
1184,ROWA GROUP Holding GmbH
1185,"A.F. Supercell Co., Ltd."
1186,AVANZARE Innovacion Tecnologica S.L.
1187,ENGEL AUSTRIA GmbH
1188,Promix Solutions AG
1189,ROWA Inc.
1190,FINCO Srl
1191,Budin Masterbatch Plastik Sanayi ve Ticaret A.Ş.
1192,E-LUCK PLASTIC MASTERBATCH MFY.
1193,FVR MASTERBATCH KIMYA SAN VE TIC LTD
1194,ROWA Masterbatch GmbH
1195,Sitra S.p.A. Masterbatch
1196,Us Masterbatch Joint Stock Company
1197,Cabot Switzerland GmbH
1198,"Delta Tecnic, S.A."
1199,ELSEWEDY POLYMERS JSC
1200,NIKNAM CHEMICALS PVT. LTD.
1201,SCJ Plastics Pvt Ltd.
1202,Soltex Petroproducts Ltd.
1203,TECNI-PLASPER SLU
1204,Alok Masterbatches Pvt. Ltd.
1205,COLORFIX Itamaster ind de Masterbatches LTDA
1206,RUTALIA MASTERBATCHES & ADDITIVES EKOGRANULAT C. BURCHERT - EHM AE
1207,Blend Colours Pvt. Ltd.
1208,High Grade Industries (India) Pvt.Ltd
1209,BRIGHT COLORS SA
1210,Chrostiki S.A.
1211,"BADGER COLOR CONCENTRATES, INC."
1212,GM Color Sp. z o.o.
1213,AF-COLOR Zweigniederlassung der AKRO-PLASTIC GmbH
1214,JJ Plastalloy Pvt. Ltd.
1215,Kromabatch S.r.l.
1216,Maskom Plastik Sanayi ve Ticaret AŞ
1217,Galata Chemicals GmbH
1218,LIFELINE TECHNOLOGIES
1219,M J PIGMENT AND ADDITIVES PVT. LTD.
1220,THOR GmbH
1221,BioCote Ltd
1222,Symphony Environmental Ltd
1223,WELSET PLAST EXTRUSIONS PVT. LTD.
1224,MD Plast S.p.A
1225,Farrel Pomini
1226,"LIANSHUN MOLDING & PLASTIC CO., LTD"
1227,"XUZHOU DAMAO PRECISION MOLDING CO.,LTD."
1228,LK Injection Moulding Machine International Limited
1229,KEBO AG Injection Mould Technology
1230,"Suzhou Usane Precision Tooling & Molding Co., Ltd."
1231,Synventive Molding Solutions GmbH
1232,Chen Hsong Holdings Ltd.
1233,Jomar Corporation
1234,Siegfried Hofmann GmbH Hofmann - Ihr Impulsgeber
1235,"Yizumi International Business Co., Ltd."
1236,Billion S.A.S.
1237,WITTMANN BATTENFELD GmbH
1238,"Huarong Plastic Machinery Co., Ltd."
1239,"WOOJIN PLAIMM Co.,Ltd"
1240,Haitian International Germany GmbH
1241,PLASTIC METAL S.p.A.
1242,FCS Group
1243,NISSEI ASB GmbH
1244,"MachinePoint Used Machinery, S. L."
1245,NETSTAL Maschinen AG
1246,"REP International, SAS"
1247,Schwarz Plastic Solutions GmbH Externer Support: Duroplast + Marketing
1248,Innova Engineered Plastics LLC
1249,Axxicon BV
1250,"Anhui Dwell Extrusion Machinery Co., Ltd"
1251,bauku extrusion technology UG
1252,"COWELL (NANJING) EXTRUSION MACHINERY CO.,LTD"
1253,"Dalian TGI GLOBE Extrusion Technology Co.,Ltd"
1254,DEVIKRUPA EXTRUSION (Proprietor Company)
1255,eprotec extrusion technology AG
1256,ERE Kunststoff RAM-Extrusion GmbH & Co. KG Kelberg
1257,Eurotech Extrusion Machinery S.R.L.
1258,HOSOKAWA ALPINE Aktiengesellschaft Film Extrusion Division
1259,INTELLIGENT EXTRUSION SYSTEMS S.L.
1260,Kaivanya Extrusion Technik Kiran Shah
1261,"Leader Extrusion Machinery Ind. Co., Ltd."
