id,company,profile_url,hall,stand
1009,"BARLOG Plastics GmbH","https://www.k-online.com/vis/v1/en/exhprofiles/970nIZdETuOv7lwXBcqOKg","6","D76"
1010,"Erhard Hippe KG","https://www.k-online.com/vis/v1/en/exhprofiles/Ao6WC2UeSOa85C34iaFuow","8a","F10"
1011,"DURPLASTICS, S.A.","https://www.k-online.com/vis/v1/en/exhprofiles/uZ6tJE5rT7SfluPFd8mnYA","8a","E12-05"
1012,"BEN Kunststoffe Vertriebs- GmbH","https://www.k-online.com/vis/v1/en/exhprofiles/WsSlfsTrQ1ymOWSbwqBXjg","8a","E09"
1013,"Mitsubishi Chemical Europe GmbH","https://www.k-online.com/vis/v1/en/exhprofiles/EWgzXFRdThez5XLHxFhlWw","6","B60"
